ID,CorrectedLongitude,CorrectedLatitude
73,11.568692837,48.1368122629
74,11.5687390376,48.1369009506
75,11.5687852382,48.1369896383
76,11.5686466364,48.1367235753
77,11.5686466364,48.1367235753
78,11.5686466364,48.1367235753
79,11.5686466364,48.1367235753
80,11.5686466364,48.1367235753
81,11.5686466364,48.1367235753
82,11.5686466364,48.1367235753
83,11.5686466364,48.1367235753
84,11.5689233753,48.1361804148
85,11.5689233753,48.1361804148
86,11.5686466364,48.1367235753
87,11.5688314388,48.137078326
88,11.5688776395,48.1371670136
89,11.5689700407,48.137344389
90,11.5689700407,48.137344389
91,11.5699260794,48.1374948187
92,11.5706121634,48.1374444133
93,11.5709453649,48.137439844
94,11.5703418,48.1374634
95,11.5687852382,48.1369896383
96,11.568692837,48.1368122629
97,11.5686466364,48.1367235753
98,11.5690162413,48.1374330767
99,11.5679155683,48.137726646
100,11.5665882871,48.1377533208
101,11.5665882871,48.1377533208
102,11.5655605244,48.1383428641
103,11.5660399487,48.1395042
104,11.5676031937,48.1403729299
105,11.5687416,48.1408831
106,11.5686492,48.140989
107,11.5704452271,48.1414687701
108,11.5713037285,48.141738807
109,11.5712231,48.141946
110,11.5708774293,48.1424578998
111,11.56995426,48.1437336217
112,11.5696517829,48.1449781554
113,11.5698343827,48.1450581106
114,11.5702202709,48.1465124691
115,11.5703250417,48.1466828307
116,11.5705997654,48.1471282073
117,11.57141553,48.1483869696
118,11.5720480312,48.1492939873
119,11.5715824709,48.1501558211
120,11.5701296661,48.150529536
121,11.5685011327,48.1511549928
122,11.5672117744,48.1515224177
123,11.5655783801,48.1519935975
124,11.5654822167,48.1520210312
125,11.5637514004,48.152502873
126,11.5636084896,48.1533749505
127,11.5628490221,48.1540529641
128,11.5630521525,48.1550623671
129,11.5631697732,48.1553383479
130,11.563248233,48.1555223154
131,11.5631838283,48.1555347676
132,11.5631435565,48.1554432351
133,11.5631032848,48.1553517027
134,11.5631697732,48.1553383479
135,11.5631032848,48.1553517027
136,11.5631435565,48.1554432351
137,11.5631697732,48.1553383479
138,11.5630129774,48.15497036
139,11.5615448703,48.1554082831
140,11.5615448703,48.1554082831
141,11.5615448703,48.1554082831
142,11.5615448703,48.1554082831
143,11.5615448703,48.1554082831
144,11.5615448703,48.1554082831
145,11.5615448703,48.1554082831
146,11.5615448703,48.1554082831
147,11.5615448703,48.1554082831
148,11.5615448703,48.1554082831
149,11.5615448703,48.1554082831
150,11.5615448703,48.1554082831
151,11.5628954521,48.1546943386
152,11.5629450974,48.1540252237
153,11.5633166028,48.1532492828
154,11.5631587318,48.1529941814
155,11.5642573613,48.1524622342
156,11.564478467,48.1517352303
157,11.564369047,48.1515678169
158,11.563634892,48.1502112682
159,11.5627130116,48.1488923339
160,11.5622585262,48.1479715792
161,11.5621187371,48.1479667184
162,11.5620979697,48.1477181594
163,11.5630962618,48.1473538851
164,11.5630962618,48.1473538851
165,11.5634115817,48.147268781
166,11.5632693722,48.1472713149
167,11.5620979697,48.1477181594
168,11.5620979697,48.1477181594
169,11.5630962618,48.1473538851
170,11.5630962618,48.1473538851
171,11.5620444508,48.1476336861
172,11.5630962618,48.1473538851
173,11.5630962618,48.1473538851
174,11.5630962618,48.1473538851
175,11.5630962618,48.1473538851
176,11.5630962618,48.1473538851
177,11.5630962618,48.1473538851
178,11.5621514885,48.1478026326
179,11.5622585262,48.1479715792
180,11.5622050074,48.1478871059
181,11.5620652316,48.147811036
182,11.5621514885,48.1478026326
183,11.5621514885,48.1478026326
184,11.5622050074,48.1478871059
185,11.5622050074,48.1478871059
186,11.5620979697,48.1477181594
187,11.5620444508,48.1476336861
188,11.5620444508,48.1476336861
189,11.5620444508,48.1476336861
190,11.5620444508,48.1476336861
191,11.5620444508,48.1476336861
192,11.5620444508,48.1476336861
193,11.5620444508,48.1476336861
194,11.5622585262,48.1479715792
195,11.5622050074,48.1478871059
196,11.5620444508,48.1476336861
197,11.5621514885,48.1478026326
198,11.5622050074,48.1478871059
199,11.5627584258,48.1491456421
200,11.5622585262,48.1479715792
201,11.5622050074,48.1478871059
202,11.5620979697,48.1477181594
203,11.5621514885,48.1478026326
204,11.5622050074,48.1478871059
205,11.5622050074,48.1478871059
206,11.5620979697,48.1477181594
207,11.5622050074,48.1478871059
208,11.5621514885,48.1478026326
209,11.5622050074,48.1478871059
210,11.5622050074,48.1478871059
211,11.5622050074,48.1478871059
212,11.5622585262,48.1479715792
213,11.5623655639,48.1481405257
214,11.5622050074,48.1478871059
215,11.5622585262,48.1479715792
216,11.5622585262,48.1479715792
217,11.5561170696,48.1431437338
218,11.5561069535,48.1424752503
219,11.5558820637,48.1421280699
220,11.5558820637,48.1421280699
221,11.5558820637,48.1421280699
222,11.5558820637,48.1421280699
223,11.5558820637,48.1421280699
224,11.5555062522,48.1317135002
225,11.5556737576,48.1308842551
226,11.5554962039,48.130027639
227,11.5557803006,48.1296267043
228,11.5561021,48.1287871
229,11.5557539,48.1286059
230,11.5561466347,48.1281898006
231,11.5569860613,48.127453854
232,11.5580014309,48.1264996816
233,11.5581173388,48.1265085436
234,11.557906,48.1261712
235,11.5566457577,48.1251101887
236,11.5553762194,48.1240500402
237,11.5547981324,48.1233347864
238,11.5547981324,48.1233347864
239,11.5547981324,48.1233347864
240,11.5547981324,48.1233347864
241,11.5547981324,48.1233347864
242,11.5546877504,48.1233878327
243,11.5546877504,48.1233878327
244,11.5546877504,48.1233878327
245,11.5546926295,48.1234648186
246,11.5547981324,48.1233347864
247,11.5549536071,48.1233681563
248,11.5525915421,48.1212046733
249,11.5547307256,48.12311835
250,11.5548166088,48.1230600857
251,11.5550421081,48.1233215993
252,11.5547981324,48.1233347864
253,11.554721217,48.12327088
254,11.554721217,48.12327088
255,11.5547981324,48.1233347864
256,11.5547981324,48.1233347864
257,11.5547981324,48.1233347864
258,11.5547981324,48.1233347864
259,11.5547981324,48.1233347864
