ID,CorrectedLongitude,CorrectedLatitude,NearestLinkIdentifier,NearestLinkClass
120,11.5701456619,48.1505549158,695667206,footway
121,11.568472248,48.1511630968,945024790,footway
122,11.5672213785,48.1515196317,945024785,footway
123,11.5656360781,48.1519771372,945024785,footway
124,11.5654629841,48.152026518,945024785,footway
125,11.5637225665,48.1525111558,1021696685,footway
126,11.5636084896,48.1533749505,945024759,footway
127,11.5628201995,48.1540612863,945024763,footway
128,11.5630678226,48.15509917,4645397,residential
129,11.5631619272,48.1553199512,4645397,residential
130,11.56324431,48.1555131171,4645397,residential
131,11.5631757739,48.1555164611,945024766,footway
132,11.5631274478,48.1554066222,945024766,footway
133,11.5630912032,48.155324243,945024766,footway
134,11.5631854651,48.1553751414,4645397,residential
135,11.5630912032,48.155324243,945024766,footway
136,11.5631516109,48.1554615416,945024766,footway
137,11.5631736961,48.1553475463,4645397,residential
138,11.563032565,48.1550163636,4645397,residential
139,11.5615230856,48.1553523776,353017404,footway
140,11.5615230856,48.1553523776,353017404,footway
141,11.5615230856,48.1553523776,353017404,footway
142,11.5615230856,48.1553523776,353017404,footway
143,11.5615230856,48.1553523776,353017404,footway
144,11.5615230856,48.1553523776,353017404,footway
145,11.5615230856,48.1553523776,353017404,footway
146,11.5615230856,48.1553523776,353017404,footway
147,11.5615230856,48.1553523776,353017404,footway
148,11.5615230856,48.1553523776,353017404,footway
149,11.5615230856,48.1553523776,353017404,footway
150,11.5615230856,48.1553523776,353017404,footway
151,11.5629032871,48.1547127401,4645397,residential
152,11.5629643125,48.1540196756,945024763,footway
153,11.5633113404,48.1532407794,945024778,footway
154,11.5631534694,48.152985678,945024778,footway
155,11.5642862291,48.1524540706,945024759,footway
156,11.564478467,48.1517352303,113849535,cycleway
157,11.564379989,48.1515845582,113849535,cycleway
158,11.5636514993,48.1502362521,313577318,residential
159,11.5627021991,48.1488755086,113849535,cycleway
160,11.5622585262,48.1479715792,113849539,cycleway
161,11.5621505109,48.1479464148,49800591,residential
162,11.5620979697,48.1477181594,113849539,cycleway
163,11.5631041432,48.1473427248,945024744,footway
164,11.5631041432,48.1473427248,945024744,footway
165,11.5633244485,48.1472475116,945024744,footway
166,11.563241834,48.1472832165,945024744,footway
167,11.5620979697,48.1477181594,113849539,cycleway
168,11.5621140253,48.1477435014,113849539,cycleway
169,11.5631016202,48.1473623283,945024744,footway
170,11.5631016202,48.1473623283,945024744,footway
171,11.5620337471,48.1476167915,113849539,cycleway
172,11.5631016202,48.1473623283,945024744,footway
173,11.5631016202,48.1473623283,945024744,footway
174,11.5631016202,48.1473623283,945024744,footway
175,11.5631016202,48.1473623283,945024744,footway
176,11.5631016202,48.1473623283,945024744,footway
177,11.5631016202,48.1473623283,945024744,footway
178,11.562130081,48.1477688433,113849539,cycleway
179,11.5622424706,48.1479462372,113849539,cycleway
180,11.5622103593,48.1478955532,113849539,cycleway
181,11.5620865539,48.1478448791,49800591,residential
182,11.5621621923,48.1478195273,113849539,cycleway
183,11.5621621923,48.1478195273,113849539,cycleway
184,11.5621943036,48.1478702113,113849539,cycleway
185,11.5621943036,48.1478702113,113849539,cycleway
186,11.5620979697,48.1477181594,113849539,cycleway
187,11.5620337471,48.1476167915,113849539,cycleway
188,11.5620658584,48.1476674754,113849539,cycleway
189,11.5620658584,48.1476674754,113849539,cycleway
190,11.5620658584,48.1476674754,113849539,cycleway
191,11.5620658584,48.1476674754,113849539,cycleway
192,11.5620658584,48.1476674754,113849539,cycleway
193,11.5620658584,48.1476674754,113849539,cycleway
194,11.5622424706,48.1479462372,113849539,cycleway
195,11.5622264149,48.1479208952,113849539,cycleway
196,11.5620658584,48.1476674754,113849539,cycleway
197,11.562178248,48.1478448693,113849539,cycleway
198,11.5622264149,48.1479208952,113849539,cycleway
199,11.5627391709,48.1491510505,945024751,footway
200,11.5622585262,48.1479715792,113849539,cycleway
201,11.5622264149,48.1479208952,113849539,cycleway
202,11.5621140253,48.1477435014,113849539,cycleway
203,11.5621461366,48.1477941853,113849539,cycleway
204,11.5622103593,48.1478955532,113849539,cycleway
205,11.5621943036,48.1478702113,113849539,cycleway
206,11.5621140253,48.1477435014,113849539,cycleway
207,11.5621943036,48.1478702113,113849539,cycleway
208,11.562130081,48.1477688433,113849539,cycleway
209,11.562178248,48.1478448693,113849539,cycleway
210,11.562178248,48.1478448693,113849539,cycleway
211,11.562178248,48.1478448693,113849539,cycleway
212,11.5622585262,48.1479715792,113849539,cycleway
